spoke_id,spoke_name,spoke_type,nearest_candidate_hub_id,nearest_candidate_hub_name,nearest_candidate_hub_level,nearest_candidate_hub_ownership,nearest_candidate_hub_subregion,nearest_candidate_distance_km,nearest_candidate_distance_band,nearest_candidate_service_score,nearest_candidate_readiness
SPOKE_0028,Tubur HC III,collocated_candidate_nbs,HF1688,ATIRIR HC IV,HC IV,Government,TESO,8.759,0_to_25_km,0,not_ready_score_0
SPOKE_0127,Mukongoro HC III,existing_nbs,HF1421,Kadami HOSPITAL,General Hospital,Private Not For Profit,TESO,8.76,0_to_25_km,4,full_hub_score_4
SPOKE_0138,Namutumba HC III,existing_nbs,HF1583,Nsinze HC IV,HC IV,Government,BUSOGA,8.926,0_to_25_km,1,weak_hub_score_1
SPOKE_0041,Amuria Abia HC II GOVT,existing_nbs,HF0966,Amuria HC IV,HC IV,Government,TESO,9.259,0_to_25_km,0,not_ready_score_0
SPOKE_0016,Namugongo HC III,collocated_candidate_nbs,HF1180,Bugono HC IV,HC IV,Government,BUSOGA,10.052,0_to_25_km,0,not_ready_score_0
SPOKE_0137,Namugongo HC III,existing_nbs,HF1180,Bugono HC IV,HC IV,Government,BUSOGA,10.052,0_to_25_km,0,not_ready_score_0
SPOKE_0008,Asuret HC III,collocated_candidate_nbs,HF1698,Soroti REGIONAL REF HOSPITAL,RR Hospital,Government,TESO,10.06,0_to_25_km,1,weak_hub_score_1
SPOKE_0003,Agulurude HC III,collocated_candidate_nbs,HF2152,Aboke HC IV,HC IV,Government,LANGO,10.086,0_to_25_km,1,weak_hub_score_1
SPOKE_0023,Ongako HC III,collocated_candidate_nbs,HF2029,St. Mary's Hospital Lacor,General Hospital,Private Not For Profit,ACHOLI,10.088,0_to_25_km,1,weak_hub_score_1
SPOKE_0141,Nawanyago HC III,existing_nbs,HF1322,Nankandulo HC IV,HC IV,Government,BUSOGA,10.261,0_to_25_km,0,not_ready_score_0
SPOKE_0154,Sekiwunga HC III,existing_nbs,HF0583,Mpigi HC IV,HC IV,Government,SOUTH BUGANDA,10.296,0_to_25_km,0,not_ready_score_0
SPOKE_0024,Opit HC III,collocated_candidate_nbs,HF2057,Lalogi HC IV,HC IV,Government,ACHOLI,10.351,0_to_25_km,1,weak_hub_score_1
SPOKE_0123,Mifumi HC III,existing_nbs,HF1726,Mulanda HC IV,HC IV,Government,BUKEDI,10.554,0_to_25_km,0,not_ready_score_0
SPOKE_0050,Baitambogwe HC III,existing_nbs,HF1166,Iganga HOSPITAL,General Hospital,Government,BUSOGA,10.755,0_to_25_km,4,full_hub_score_4
SPOKE_0064,Buwaiswa HC III,existing_nbs,HF1166,Iganga HOSPITAL,General Hospital,Government,BUSOGA,10.932,0_to_25_km,4,full_hub_score_4
SPOKE_0101,Kisiita HC III,existing_nbs,HF2931,Kakindo HC IV,HC IV,Government,BUNYORO,10.988,0_to_25_km,0,not_ready_score_0
SPOKE_0017,Namwiwa HC III,collocated_candidate_nbs,HF1281,Bumanya HC IV,HC IV,Government,BUSOGA,11.174,0_to_25_km,1,weak_hub_score_1
SPOKE_0158,St. Francis Acumet HC III,existing_nbs,HF0975,Kapelebyong HC IV,HC IV,Government,TESO,11.312,0_to_25_km,2,partial_hub_score_2
SPOKE_0026,Parombo HC III,collocated_candidate_nbs,HF2330,Angal St. Luke HOSPITAL,General Hospital,Private Not For Profit,WEST NILE,12.232,0_to_25_km,1,weak_hub_score_1
SPOKE_0007,Apala HC III,collocated_candidate_nbs,HF2228,Ogur HC IV,HC IV,Government,LANGO,12.42,0_to_25_km,1,weak_hub_score_1
SPOKE_0116,Lwengo Kinoni HC III GOVT,existing_nbs,HF0854,Bamu HOSPITAL,General Hospital,Private For Profit,SOUTH BUGANDA,12.652,0_to_25_km,2,partial_hub_score_2
SPOKE_0014,Lokitelaebu HC III,collocated_candidate_nbs,HF2167,Kotido HC IV,HC IV,Government,KARAMOJA,13.163,0_to_25_km,0,not_ready_score_0
SPOKE_0013,Diima HC III,collocated_candidate_nbs,HF2376,Aber Ngo HOSPITAL,General Hospital,Private Not For Profit,LANGO,14.036,0_to_25_km,2,partial_hub_score_2
